date,open,high,low,close,adj_close,volume
2012-01-03,92.769997,95.110001,92.769997,93.980003,65.485237,8177000
2012-01-04,93.410004,95.510002,93.410004,94.849998,66.091423,7335200
2012-01-05,94.839996,96.160004,93.900002,95.519997,66.558258,5555900
2012-01-06,96.029999,96.199997,95.320000,95.760002,66.725517,5474100
2012-01-09,96.089996,97.410004,96.000000,97.099998,67.659225,6536300
2012-01-10,98.449997,99.980003,98.279999,99.959999,69.652084,9545000
2012-01-11,99.830002,100.449997,99.400002,99.639999,69.429092,7226500
2012-01-12,99.989998,102.040001,98.660004,101.940002,71.031723,10471800
2012-01-13,100.720001,102.699997,100.550003,102.480003,71.408020,9914300
2012-01-17,103.820000,104.800003,103.320000,103.370003,72.028152,8864700
2012-01-18,102.660004,104.500000,102.500000,104.260002,72.973061,6794400
2012-01-19,104.650002,105.760002,103.629997,105.750000,74.015930,9464800
2012-01-20,105.349998,105.919998,104.839996,105.639999,73.938911,6601100
2012-01-23,105.910004,107.239998,105.639999,106.370003,74.449883,7003800
2012-01-24,105.430000,106.800003,105.150002,106.290001,74.393875,5577300
2012-01-25,106.000000,109.279999,105.989998,109.050003,76.325630,10649400
2012-01-26,112.209999,114.000000,110.699997,111.309998,77.907455,18539000
2012-01-27,110.529999,111.980003,109.669998,111.279999,77.886459,7835100
2012-01-30,110.019997,110.750000,104.449997,110.410004,77.277527,5968400
2012-01-31,111.290001,112.000000,108.709999,109.120003,76.374641,7608300
2012-02-01,110.750000,111.389999,109.940002,110.519997,77.354515,6737900
2012-02-02,110.800003,111.019997,109.860001,110.330002,77.221527,5125400
2012-02-03,112.169998,114.650002,111.900002,113.940002,79.748199,10225500
2012-02-06,113.239998,114.250000,112.800003,113.779999,79.636230,5029600
2012-02-07,113.050003,114.099998,112.489998,113.809998,79.657219,5139200
2012-02-08,113.820000,114.330002,113.220001,114.040001,79.818199,4123800
2012-02-09,114.389999,114.639999,112.589996,112.830002,78.971313,7566200
2012-02-10,111.010002,111.779999,110.330002,111.750000,78.215385,6351700
2012-02-13,112.699997,113.860001,111.680000,113.699997,79.580269,5702400
2012-02-14,113.320000,114.480003,113.209999,114.449997,80.105179,6425000
2012-02-15,114.489998,114.699997,111.940002,112.529999,78.761314,8201900
2012-02-16,112.720001,114.050003,112.389999,113.959999,79.762199,5456900
2012-02-17,114.379997,114.500000,113.029999,113.949997,79.755219,4296000
2012-02-21,114.500000,116.440002,114.389999,115.000000,80.490089,7520200
2012-02-22,114.760002,116.449997,114.500000,115.809998,81.057045,5004800
2012-02-23,115.879997,116.449997,115.000000,116.199997,81.330002,5064900
2012-02-24,116.290001,116.949997,115.669998,116.000000,81.190041,4473500
2012-02-27,114.839996,116.500000,114.550003,115.629997,80.931053,4909600
2012-02-28,115.809998,116.220001,115.199997,115.760002,81.022034,4013200
2012-02-29,116.129997,116.400002,113.680000,114.209999,79.937202,6780300
2012-03-01,114.669998,115.379997,113.010002,113.389999,79.363243,7465000
2012-03-02,113.160004,113.940002,111.800003,112.489998,78.733345,5404800
2012-03-05,111.550003,111.900002,109.519997,110.089996,77.053558,8392200
2012-03-06,106.570000,107.160004,105.199997,105.930000,74.141891,12630800
2012-03-07,106.660004,108.620003,106.320000,108.279999,75.786713,7385800
2012-03-08,109.589996,110.559998,108.660004,110.279999,77.186508,6171200
2012-03-09,110.879997,111.089996,109.800003,110.220001,77.144547,6526500
2012-03-12,110.110001,110.949997,108.680000,108.940002,76.248650,6499200
2012-03-13,109.730003,113.379997,109.309998,113.300003,79.300278,8077600
2012-03-14,113.209999,113.449997,111.260002,112.269997,78.579353,6181000
2012-03-15,112.879997,113.480003,111.389999,113.449997,79.405266,5316700
2012-03-16,114.019997,114.250000,113.040001,113.580002,79.496239,5776000
2012-03-19,113.500000,114.089996,112.779999,113.730003,79.601234,4736500
2012-03-20,111.989998,112.000000,110.510002,110.760002,77.522499,8086900
2012-03-21,110.849998,111.349998,109.000000,109.000000,76.290627,7925000
2012-03-22,107.279999,107.940002,105.699997,106.430000,74.491852,9449700
2012-03-23,106.589996,108.610001,105.800003,107.830002,75.471725,6025000
2012-03-26,108.800003,109.699997,108.120003,108.750000,76.115623,4570800
2012-03-27,108.680000,109.570000,107.879997,108.059998,75.632721,4211400
2012-03-28,107.959999,107.970001,103.550003,104.260002,72.973061,10244900
2012-03-29,103.620003,106.269997,103.480003,106.019997,74.204895,8316800
2012-03-30,106.699997,106.930000,105.580002,106.519997,74.554848,4780300
2012-04-02,105.989998,107.940002,105.040001,107.250000,75.065796,5211700
2012-04-03,107.639999,108.089996,105.820000,106.209999,74.337875,5828000
2012-04-04,104.769997,106.839996,104.339996,106.260002,74.372856,5583200
2012-04-05,105.709999,107.139999,105.410004,105.870003,74.099922,4576600
2012-04-09,103.570000,104.290001,102.800003,103.570000,72.490105,6335700
2012-04-10,103.540001,103.660004,99.800003,100.430000,70.292381,9162300
2012-04-11,101.769997,102.500000,100.500000,101.750000,71.216263,6178100
2012-04-12,102.169998,106.500000,102.129997,106.440002,74.498848,8973200
